model,threshold,round_index,round_type,codec_mode,layer_name,shape,numel,backend,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,payload_growth_factor,lost_compression_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms,decode_status,codec_failure_reason,state_committed
resnet18,262144,0,round0,raw_v0,layer4.1.bn1.running_var,512,512,cpu,1936,1936,1936,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14088861644268036,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2423443,9437184,9437184,3.89412253558264,7013741,9437184,9437184,100.0,0.0,7.857375778257847,0.0,0.0,0.0,0.07322710007429123,0.0,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.bn2.weight,512,512,cpu,1942,1942,1942,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163225457072258,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.bn2.bias,512,512,cpu,1941,1941,1941,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1507401466369629,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.bn2.running_mean,512,512,cpu,1939,1939,1939,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14605652540922165,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.bn2.running_var,512,512,cpu,1940,1940,1940,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13859570026397705,not_checked,,1
resnet18,262144,0,round0,raw_v0,linear.weight,10x512,5120,cpu,10343,10343,10343,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.288718543946743,not_checked,,1
resnet18,262144,1,hot,raw_v0,conv1.weight,64x3x3x3,1728,cpu,5446,5446,5446,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6024969518184662,not_checked,,1
resnet18,262144,1,hot,raw_v0,bn1.weight,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21963845938444138,not_checked,,1
resnet18,262144,1,hot,raw_v0,bn1.bias,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1409277319908142,not_checked,,1
resnet18,262144,1,hot,raw_v0,bn1.running_mean,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13970490545034409,not_checked,,1
resnet18,262144,1,hot,raw_v0,bn1.running_var,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11740904301404953,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.conv1.weight,64x64x3x3,36864,cpu,44882,44882,44882,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2741584107279778,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.bn1.weight,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17862673848867416,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.bn1.bias,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13950467109680176,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.bn1.running_mean,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13294629752635956,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.bn1.running_var,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12051500380039215,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.conv2.weight,64x64x3x3,36864,cpu,44866,44866,44866,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9759517163038254,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.bn2.weight,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16948021948337555,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.bn2.bias,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12296158820390701,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.bn2.running_mean,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12170989066362381,not_checked,,1
resnet18,262144,1,hot,raw_v0,layer1.0.bn2.running_var,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11510401964187622,not_checked,,1
